CrossingId,distance_base,distance_closure,duration_base,duration_closure,eu_distance,circuity_base,circuity_closure,distance_change,duration_change,circuity_change,circuity_pctchg,distance_pctchg,duration_pctchg
443253G,1814,4189,148,285,1660.7565787926526,1.0922732585643304,2.5223443661113456,2375,137,1.4300711075470152,1.3092613009922827,1.3092613009922822,0.9256756756756757
443129B,1728,3187,239,377,1558.781647997351,1.1085580858743447,2.044545497500889,1459,138,0.9359874116265445,0.8443287037037037,0.8443287037037037,0.5774058577405857
443201P,5891,11374,555,739,2052.948455935913,2.8695313722888227,5.540324194264652,5483,184,2.6707928219758297,0.9307418095399761,0.9307418095399762,0.33153153153153153
443089F,430,500,69,72,321.4670892641578,1.3376174867053279,1.5553691705875905,70,3,0.21775168388226263,0.16279069767441856,0.16279069767441862,0.043478260869565216
443012T,1164,2417,89,237,1061.5726072523914,1.0964864692700724,2.276810821499798,1253,148,1.1803243522297258,1.0764604810996563,1.0764604810996563,1.6629213483146068
443050C,1809,4185,167,459,1405.4597812508632,1.287123277472931,2.9776732538552886,2376,292,1.6905499763823575,1.3134328358208958,1.3134328358208955,1.748502994011976
443054E,1819,4759,176,432,1591.7470160501039,1.142769536652766,2.989796715189947,2940,256,1.847027178537181,1.6162726772952174,1.6162726772952172,1.4545454545454546
443247D,805,1126,119,160,712.3533197717701,1.1300572028749902,1.5806762862574397,321,41,0.4506190833824495,0.3987577639751553,0.3987577639751553,0.3445378151260504
443014G,1579,2977,172,348,1156.8694945301706,1.3648903419665894,2.573323969622886,1398,176,1.2084336276562964,0.8853704876504116,0.8853704876504117,1.0232558139534884
443260S,627,3451,57,265,446.9826027276376,1.402739158467994,7.720658430419533,2824,208,6.317919271951539,4.503987240829346,4.503987240829346,3.6491228070175437
668208L,582,914,59,150,471.72690276494694,1.2337646985760322,1.937561743124559,332,91,0.7037970445485269,0.570446735395189,0.570446735395189,1.5423728813559323
443206Y,2375,9025,218,845,2247.8639340574646,1.0565586128307378,4.014922728756804,6650,627,2.9583641159260656,2.8,2.8,2.876146788990826
443171A,829,1289,109,184,683.5590526399926,1.2127701283426733,1.8857185710901156,460,75,0.6729484427474424,0.5548854041013269,0.5548854041013269,0.6880733944954128
443066Y,700,1330,99,172,569.4979756959224,1.229152744826889,2.3353902151710892,630,73,1.1062374703442002,0.9,0.9,0.7373737373737373
443130V,1714,4668,207,336,1590.2928172661523,1.077788933830759,2.9353084849019733,2954,129,1.8575195510712144,1.7234539089848306,1.7234539089848309,0.6231884057971014
976469K,904,2510,135,333,827.885507478008,1.0919384284837406,3.0318201941307397,1606,198,1.939881765646999,1.7765486725663715,1.7765486725663717,1.4666666666666666
443241M,2885,12261,410,1273,2032.5625464614877,1.419390515200888,6.032286692158783,9376,863,4.612896176957895,3.2499133448873483,3.2499133448873483,2.104878048780488
443073J,2670,5049,254,348,2428.1715131476913,1.099592835820243,2.0793424075117626,2379,94,0.9797495716915197,0.891011235955056,0.8910112359550562,0.3700787401574803
443187W,386,589,63,84,351.9147281260965,1.0968566222147151,1.6737009079908476,203,21,0.5768442857761324,0.5259067357512952,0.5259067357512953,0.3333333333333333
443021S,1981,4530,245,497,1912.25875872275,1.0359476671050336,2.3689262655152965,2549,252,1.332978598410263,1.2867238768298839,1.2867238768298839,1.0285714285714285
443140B,460,743,83,113,402.5659246292785,1.1426699873408617,1.8456604360744788,283,30,0.7029904487336172,0.6152173913043479,0.6152173913043478,0.3614457831325301
443067F,688,980,129,166,643.2942287190817,1.0694950604017321,1.5234086616187463,292,37,0.4539136012170142,0.42441860465116277,0.42441860465116277,0.2868217054263566
443106U,1982,4421,194,414,1419.843645911028,1.3959283514828635,3.113723129114904,2439,220,1.7177947776320404,1.2305751765893036,1.2305751765893038,1.134020618556701
443019R,827,5852,96,581,584.5436940087137,1.414778755594055,10.011227663526492,5025,485,8.596448907932437,6.076178960096735,6.076178960096735,5.052083333333333
443169Y,1579,5372,143,564,1576.8312072877009,1.0013754120937457,3.406832624298671,3793,421,2.4054572122049254,2.402153261557948,2.402153261557948,2.944055944055944
435231L,387,1019,72,149,287.5952331293607,1.3456412186982492,3.543174164996165,632,77,2.1975329462979163,1.633074935400517,1.6330749354005167,1.0694444444444444
443087S,940,2628,112,291,758.5007218428601,1.239286889162304,3.464729728423973,1688,179,2.225442839261669,1.795744680851064,1.7957446808510638,1.5982142857142858
443093V,480,636,77,90,422.12002843914814,1.1371173307622282,1.5066804632599524,156,13,0.3695631324977242,0.32500000000000007,0.325,0.16883116883116883
443234C,1807,4751,176,367,1569.3379546552928,1.1514409593164463,3.0273912549598427,2944,191,1.8759502956433964,1.629219701162147,1.6292197011621472,1.0852272727272727
443268W,541,4188,55,399,378.9952922646654,1.4274583643698697,11.050269186656218,3647,344,9.622810822286349,6.741219963031423,6.741219963031424,6.254545454545455
443046M,364,529,61,73,297.1018916011358,1.2251689076711636,1.7805339345001252,165,12,0.5553650268289616,0.45329670329670335,0.4532967032967033,0.19672131147540983
443217L,506,1541,80,189,443.3716755516893,1.1412546806703021,3.4756392547686477,1035,109,2.3343845740983458,2.045454545454546,2.0454545454545454,1.3625
443204K,962,8923,99,844,801.0249362246552,1.2009613639920416,11.139478431290007,7961,745,9.938517067297965,8.275467775467776,8.275467775467776,7.525252525252525
668215W,473,637,72,97,417.5706969700936,1.1327423198804496,1.5254901855472438,164,25,0.3927478656667942,0.3467230443974629,0.346723044397463,0.3472222222222222
443167K,1993,4706,162,331,1646.5575805350534,1.2104040718408215,2.8580840753050207,2713,169,1.6476800034641992,1.3612644254892123,1.3612644254892123,1.0432098765432098
443096R,574,760,90,122,518.1978703563689,1.1076849845122976,1.466621233849035,186,32,0.3589362493367374,0.3240418118466898,0.3240418118466899,0.35555555555555557
443230A,2112,5961,204,489,2001.1965122155998,1.055368619277537,2.9787179637847525,3849,285,1.9233493445072156,1.8224431818181819,1.8224431818181819,1.3970588235294117
443030R,308,628,73,104,245.99019660506914,1.2520824173106622,2.5529472664645967,320,31,1.3008648491539345,1.0389610389610389,1.0389610389610389,0.4246575342465753
443006P,1718,6310,158,545,1601.4224509743433,1.0727962499556118,3.940246994889354,4592,387,2.867450744933742,2.6728754365541323,2.6728754365541327,2.449367088607595
443233V,2095,5147,114,467,1953.0436445786545,1.0726846815816913,2.63537377379521,3052,353,1.5626890922135188,1.456801909307876,1.456801909307876,3.0964912280701755
443210N,326,508,55,88,234.36542199915073,1.3909901777284421,2.1675552462762226,182,33,0.7765650685477805,0.558282208588957,0.558282208588957,0.6
443257J,3360,12232,271,832,3224.2575024467083,1.0421003897642431,3.7937416570226854,8872,561,2.7516412672584423,2.640476190476191,2.6404761904761904,2.0701107011070112
443091G,581,818,61,129,532.4967712713996,1.0910864278346575,1.5361595489995694,237,68,0.44507312116491193,0.4079173838209983,0.4079173838209983,1.1147540983606556
443086K,958,2480,90,304,798.9936651363328,1.1990082547607381,3.103904459088341,1522,214,1.904896204327603,1.5887265135699375,1.5887265135699373,2.3777777777777778
443042K,1858,3575,179,332,1618.0807715156207,1.1482739506629525,2.2094076284284476,1717,153,1.0611336777654952,0.9241119483315396,0.9241119483315393,0.8547486033519553
443214R,379,608,64,85,319.52386102716434,1.1861398982274418,1.9028312879215954,229,21,0.7166913896941536,0.6042216358839051,0.604221635883905,0.328125
443252A,2148,4924,115,391,2095.8647408781344,1.0248752975824298,2.349388251999946,2776,276,1.3245129544175163,1.292364990689013,1.2923649906890131,2.4
668207E,1185,4434,140,421,1150.9603818957619,1.0295749694252474,3.8524349488873812,3249,281,2.822859979462134,2.741772151898734,2.741772151898734,2.007142857142857
443127M,2573,4105,348,490,1875.5649469440582,1.3718533203514514,2.188673874870854,1532,142,0.8168205545194027,0.5954139137193937,0.5954139137193937,0.40804597701149425
443243B,509,1322,60,204,468.14239951693156,1.0872760094476142,2.8239270815122706,813,144,1.7366510720646564,1.597249508840864,1.5972495088408645,2.4
435229K,322,536,51,93,280.3631694385906,1.1485103433692254,1.9118060374096422,214,42,0.76329569404041675,0.6645962732919254,0.6645962732919255,0.8235294117647058
442996D,2384,5949,321,648,2059.5651171328354,1.1575259165968093,2.888473858152021,3565,327,1.7309479415552116,1.4953859060402683,1.4953859060402686,1.0186915887850467
443121W,2390,4976,226,482,2080.9199754975616,1.1485304712059075,2.3912500521843496,2586,256,1.2427195809784422,1.0820083682008368,1.0820083682008368,1.1327433628318584
443198J,2696,2700,191,195,2479.79357680498,1.0871872663988367,1.0888003038860754,4,4,0.0016130374872387332,0.0014836795252226467,0.001483679525222552,0.020942408376963352
443060H,1207,6112,120,445,1053.494174849535,1.1457111285616641,5.8016457479444,4905,325,4.6559346193827365,4.063794531897266,4.063794531897266,2.7083333333333335
443049H,442,819,70,148,393.1620440569487,1.1242183895451954,2.0831105453337444,377,78,0.958892155788549,0.8529411764705883,0.8529411764705882,1.1142857142857143
443053X,1682,4803,163,452,1577.6895351714415,1.066115964201552,3.0443251938525893,3121,289,1.9782092296510372,1.8555291319857317,1.8555291319857312,1.7730061349693251
443028P,1340,10771,132,942,1337.6276164079552,1.0017735755175388,8.052315807387618,9431,810,7.05054223187008,7.038059701492537,7.0380597014925375,6.136363636363637
668218S,960,6339,77,395,847.0720761265833,1.1333156021265671,7.4834245852919885,5379,318,6.350108983165422,5.603125,5.603125,4.12987012987013
443227S,1145,4048,115,383,919.2338842877916,1.245602473506651,4.40366708537548,2903,268,3.1580646118688285,2.5353711790393016,2.535371179039301,2.3304347826086955
443008D,585,751,98,96,430.6863219245006,1.3582971416086687,1.7437284672617266,166,-2,0.38543132565305793,0.28376068376068364,0.28376068376068375,-0.02040816326530612
443211V,507,766,72,108,453.7524879846236,1.1173492452942337,1.6881450136003608,259,36,0.5707957683061271,0.5108481262327415,0.5108481262327417,0.5
442998S,1860,5953,168,549,1767.1838883264004,1.0525220449816914,3.368636416008607,4093,381,2.3161143710269156,2.2005376344086023,2.2005376344086023,2.267857142857143
443197C,714,946,61,114,649.5821251743611,1.0991681764770664,1.4563208612707352,232,53,0.3571526847936688,0.32492997198879564,0.32492997198879553,0.8688524590163934
443249S,1864,4797,260,437,1665.6648107896685,1.119072689730597,2.8799311655781508,2933,177,1.7608584758475538,1.573497854077253,1.5734978540772533,0.6807692307692308
442989T,768,2556,69,265,727.1805549583534,1.056133851164357,3.5149454734063754,1788,196,2.4588116222420187,2.328125,2.328125,2.8405797101449277
443056T,2236,5365,150,436,2159.898803470219,1.0352336861372915,2.483912668214029,3129,286,1.4486789820767376,1.3993738819320216,1.3993738819320214,1.9066666666666667
668204J,1384,2868,100,196,1005.5933102389838,1.376301916399072,2.8520476128847823,1484,96,1.4757456964857103,1.0722543352601157,1.0722543352601157,0.96
